method,sample_point,habitat,nutrient,flux_direction,flux_rate_mgm2d
rb,8,hardwoods,drp,top,-37.7793
rb,8,hardwoods,nox,top,-45.0009
rb,8,hardwoods,nh3,top,-198.5754
rb,8,hardwoods,drp,bottom,156.9294
rb,8,hardwoods,nox,bottom,7.143
rb,8,hardwoods,nh3,bottom,168.5748
rb,9,hardwoods,drp,net,-9.602462229
rb,9,hardwoods,nox,net,-0.268283937
rb,9,hardwoods,nh3,net,18.92442205
rb,9,hardwoods,drp,top,-19.0511
rb,9,hardwoods,nox,top,-34.2864
rb,9,hardwoods,nh3,top,-224.2902
rb,9,hardwoods,drp,bottom,9.3641
rb,9,hardwoods,nox,bottom,33.5721
rb,9,hardwoods,nh3,bottom,242.862
rb,10,typha,drp,net,NA
rb,10,typha,nox,net,NA
rb,10,typha,nh3,net,NA
rb,10,typha,drp,top,NA
rb,10,typha,nox,top,NA
rb,10,typha,nh3,top,NA
rb,10,typha,drp,bottom,NA
rb,10,typha,nox,bottom,NA
rb,10,typha,nh3,bottom,NA
rb,11,typha,drp,net,NA
rb,11,typha,nox,net,NA
rb,11,typha,nh3,net,NA
rb,11,typha,drp,top,NA
rb,11,typha,nox,top,NA
rb,11,typha,nh3,top,NA
rb,11,typha,drp,bottom,NA
rb,11,typha,nox,bottom,NA
rb,11,typha,nh3,bottom,NA
rb,12,typha,drp,net,NA
rb,12,typha,nox,net,NA
rb,12,typha,nh3,net,NA
rb,12,typha,drp,top,NA
rb,12,typha,nox,top,NA
rb,12,typha,nh3,top,NA
rb,12,typha,drp,bottom,NA
rb,12,typha,nox,bottom,NA
rb,12,typha,nh3,bottom,NA
rb,13,sav,drp,net,NA
rb,13,sav,nox,net,-36.35648397
rb,13,sav,nh3,net,-140.7350361
rb,13,sav,drp,top,NA
rb,13,sav,nox,top,-125.0025
rb,13,sav,nh3,top,-502.1529
rb,13,sav,drp,bottom,NA
rb,13,sav,nox,bottom,88.5732
rb,13,sav,nh3,bottom,361.4358
rb,14,sav,drp,net,35.24227176
rb,14,sav,nox,net,NA
rb,14,sav,nh3,net,-58.5699893
rb,14,sav,drp,top,-53.9243
rb,14,sav,nox,top,NA
rb,14,sav,nh3,top,-290.0058
rb,14,sav,drp,bottom,89.1204
rb,14,sav,nox,bottom,NA
rb,14,sav,nh3,bottom,231.4332
rb,15,sav,drp,net,19.13690583
rb,15,sav,nox,net,25.48603542
rb,15,sav,nh3,net,-150.7730151
rb,15,sav,drp,top,-20.3427
rb,15,sav,nox,top,-49.2867
rb,15,sav,nh3,top,-330.7209
rb,15,sav,drp,bottom,39.7167
rb,15,sav,nox,bottom,75.0015
rb,15,sav,nh3,bottom,180.0036
rb,16,sav,drp,net,24.29988632
rb,16,sav,nox,net,NA
rb,16,sav,nh3,net,-153.4536532
rb,16,sav,drp,top,-42.6228
rb,16,sav,nox,top,NA
rb,16,sav,nh3,top,-415.0083
rb,16,sav,drp,bottom,66.8403
rb,16,sav,nox,bottom,NA
rb,16,sav,nh3,bottom,262.1481
rb,17,fav,drp,net,29.44099873
rb,17,fav,nox,net,NA
rb,17,fav,nh3,net,-24.94835796
rb,17,fav,drp,top,-16.4679
rb,17,fav,nox,top,NA
rb,17,fav,nh3,top,-74.2872
rb,17,fav,drp,bottom,45.8518
rb,17,fav,nox,bottom,NA
rb,17,fav,nh3,bottom,49.2867
rb,18,fav,drp,net,NA
rb,18,fav,nox,net,NA
rb,18,fav,nh3,net,NA
rb,18,fav,drp,top,NA
rb,18,fav,nox,top,NA
rb,18,fav,nh3,top,NA
rb,18,fav,drp,bottom,NA
rb,18,fav,nox,bottom,NA
rb,18,fav,nh3,bottom,NA
rb,19,fav,drp,net,-16.79671756
rb,19,fav,nox,net,-35.65671819
rb,19,fav,nh3,net,-329.5481132
rb,19,fav,drp,top,-138.5241
rb,19,fav,nox,top,-70.0014
rb,19,fav,nh3,top,-619.2981
rb,19,fav,drp,bottom,121.7333
rb,19,fav,nox,bottom,34.2864
rb,19,fav,nh3,bottom,290.0058
rb,20,fav,drp,net,7.955685888
rb,20,fav,nox,net,-1.190051943
rb,20,fav,nh3,net,-272.7045467
rb,20,fav,drp,top,-64.9029
rb,20,fav,nox,top,-66.4299
rb,20,fav,nh3,top,-560.7255
rb,20,fav,drp,bottom,72.6525
rb,20,fav,nox,bottom,65.0013
rb,20,fav,nh3,bottom,287.8629
rb,21,fav,drp,net,64.45241268
rb,21,fav,nox,net,-44.73216513
rb,21,fav,nh3,net,-35.27779604
rb,21,fav,drp,top,-8.3954
rb,21,fav,nox,top,-100.7163
rb,21,fav,nh3,top,-246.4335
rb,21,fav,drp,bottom,72.6525
rb,21,fav,nox,bottom,55.7154
rb,21,fav,nh3,bottom,211.4328
rb,22,fav,drp,net,-54.02806986
rb,22,fav,nox,net,NA
rb,22,fav,nh3,net,30.96178251
rb,22,fav,drp,top,-79.1105
rb,22,fav,nox,top,NA
rb,22,fav,nh3,top,-244.2906
rb,22,fav,drp,bottom,24.8633
rb,22,fav,nox,bottom,NA
rb,22,fav,nh3,bottom,275.0055
rb,23,fav,drp,net,NA
rb,23,fav,nox,net,11.4731891
rb,23,fav,nh3,net,-186.2854394
rb,23,fav,drp,top,NA
rb,23,fav,nox,top,-73.5729
rb,23,fav,nh3,top,-444.2946
rb,23,fav,drp,bottom,NA
rb,23,fav,nox,bottom,85.0017
rb,23,fav,nh3,bottom,257.8623
rb,24,fav,drp,net,NA
rb,24,fav,nox,net,-6.87450413
rb,24,fav,nh3,net,-22.42775497
rb,24,fav,drp,top,NA
rb,24,fav,nox,top,-44.2866
rb,24,fav,nh3,top,-75.7158
rb,24,fav,drp,bottom,NA
rb,24,fav,nox,bottom,37.8579
rb,24,fav,nh3,bottom,52.8582
rb,25,hardwoods,drp,net,154.0950047
rb,25,hardwoods,nox,net,NA
rb,25,hardwoods,nh3,net,-466.4930494
rb,25,hardwoods,drp,top,-3.229
rb,25,hardwoods,nox,top,NA
rb,25,hardwoods,nh3,top,-1200.7383
rb,25,hardwoods,drp,bottom,157.2523
rb,25,hardwoods,nox,bottom,NA
rb,25,hardwoods,nh3,bottom,734.3004
rb,26,hardwoods,drp,net,17.93097408
rb,26,hardwoods,nox,net,-20.49135553
rb,26,hardwoods,nh3,net,-188.3731805
rb,26,hardwoods,drp,top,-168.8767
rb,26,hardwoods,nox,top,-55.7154
rb,26,hardwoods,nh3,top,-713.5857
rb,26,hardwoods,drp,bottom,186.6362
rb,26,hardwoods,nox,bottom,35.715
rb,26,hardwoods,nh3,bottom,525.0105
rb,27,hardwoods,drp,net,NA
rb,27,hardwoods,nox,net,-19.5973973
rb,27,hardwoods,nh3,net,-230.073897
rb,27,hardwoods,drp,top,NA
rb,27,hardwoods,nox,top,-43.5723
rb,27,hardwoods,nh3,top,-830.0166
rb,27,hardwoods,drp,bottom,NA
rb,27,hardwoods,nox,bottom,23.5719
rb,27,hardwoods,nh3,bottom,600.012
rb,28,hardwoods,drp,net,13.17797122
rb,28,hardwoods,nox,net,15.80583075
rb,28,hardwoods,nh3,net,-83.30445356
rb,28,hardwoods,drp,top,-137.2325
rb,28,hardwoods,nox,top,-35.0007
rb,28,hardwoods,nh3,top,-673.5849
rb,28,hardwoods,drp,bottom,150.4714
rb,28,hardwoods,nox,bottom,50.7153
rb,28,hardwoods,nh3,bottom,590.0118
