method,sample_point,habitat,nutrient,flux_direction,flux_rate_mgm2d
rb,19,fav,drp,net,-0.520183263
rb,19,fav,nox,net,-0.499184071
rb,19,fav,nh3,net,-4.613581313
rb,19,fav,drp,top,-4.29
rb,19,fav,nox,top,-0.98
rb,19,fav,nh3,top,-8.67
rb,19,fav,drp,bottom,3.77
rb,19,fav,nox,bottom,0.48
rb,19,fav,nh3,bottom,4.06
rb,20,fav,drp,net,0.246382344
rb,20,fav,nox,net,-0.016660394
rb,20,fav,nh3,net,-3.817787298
rb,20,fav,drp,top,-2.01
rb,20,fav,nox,top,-0.93
rb,20,fav,nh3,top,-7.85
rb,20,fav,drp,bottom,2.25
rb,20,fav,nox,bottom,0.91
rb,20,fav,nh3,bottom,4.03
rb,21,fav,drp,net,1.996048705
rb,21,fav,nox,net,-0.626237787
rb,21,fav,nh3,net,-0.493879267
rb,21,fav,drp,top,-0.26
rb,21,fav,nox,top,-1.41
rb,21,fav,nh3,top,-3.45
rb,21,fav,drp,bottom,2.25
rb,21,fav,nox,bottom,0.78
rb,21,fav,nh3,bottom,2.96
rb,22,fav,drp,net,-1.673213684
rb,22,fav,nox,net,NA
rb,22,fav,nh3,net,0.433456286
rb,22,fav,drp,top,-2.45
rb,22,fav,nox,top,NA
rb,22,fav,nh3,top,-3.42
rb,22,fav,drp,bottom,0.77
rb,22,fav,nox,bottom,NA
rb,22,fav,nh3,bottom,3.85
rb,23,fav,drp,net,NA
rb,23,fav,nox,net,0.160621435
rb,23,fav,nh3,net,-2.607943993
rb,23,fav,drp,top,NA
rb,23,fav,nox,top,-1.03
rb,23,fav,nh3,top,-6.22
rb,23,fav,drp,bottom,NA
rb,23,fav,nox,bottom,1.19
rb,23,fav,nh3,bottom,3.61
rb,24,fav,drp,net,NA
rb,24,fav,nox,net,-0.096241133
rb,24,fav,nh3,net,-0.31398229
rb,24,fav,drp,top,NA
rb,24,fav,nox,top,-0.62
rb,24,fav,nh3,top,-1.06
rb,24,fav,drp,bottom,NA
rb,24,fav,nox,bottom,0.53
rb,24,fav,nh3,bottom,0.74
rb,25,hardwoods,drp,net,4.772220646
rb,25,hardwoods,nox,net,NA
rb,25,hardwoods,nh3,net,-6.530772076
rb,25,hardwoods,drp,top,-0.1
rb,25,hardwoods,nox,top,NA
rb,25,hardwoods,nh3,top,-16.81
rb,25,hardwoods,drp,bottom,4.87
rb,25,hardwoods,nox,bottom,NA
rb,25,hardwoods,nh3,bottom,10.28
rb,26,hardwoods,drp,net,0.555310439
rb,26,hardwoods,nox,net,-0.28687324
rb,26,hardwoods,nh3,net,-2.637171784
rb,26,hardwoods,drp,top,-5.23
rb,26,hardwoods,nox,top,-0.78
rb,26,hardwoods,nh3,top,-9.99
rb,26,hardwoods,drp,bottom,5.78
rb,26,hardwoods,nox,bottom,0.5
rb,26,hardwoods,nh3,bottom,7.35
rb,27,hardwoods,drp,net,NA
rb,27,hardwoods,nox,net,-0.274358075
rb,27,hardwoods,nh3,net,-3.220970139
rb,27,hardwoods,drp,top,NA
rb,27,hardwoods,nox,top,-0.61
rb,27,hardwoods,nh3,top,-11.62
rb,27,hardwoods,drp,bottom,NA
rb,27,hardwoods,nox,bottom,0.33
rb,27,hardwoods,nh3,bottom,8.4
rb,28,hardwoods,drp,net,0.408113076
rb,28,hardwoods,nox,net,0.221277205
rb,28,hardwoods,nh3,net,-1.166239025
rb,28,hardwoods,drp,top,-4.25
rb,28,hardwoods,nox,top,-0.49
rb,28,hardwoods,nh3,top,-9.43
rb,28,hardwoods,drp,bottom,4.66
rb,28,hardwoods,nox,bottom,0.71
rb,28,hardwoods,nh3,bottom,8.26
