NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results,NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results,orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results,NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,16,A13       ,U         ,7_T1,20230801_MAGM_ICI,3.0000,,,,,,,,,354.59,1.9800,0.1694,118.20
1,17,A14       ,U         ,8_T1,20230801_MAGM_ICI,3.0000,,,,,,,,,410.71,2.0050,0.1962,136.90
1,18,A15       ,U         ,14_T1,20230801_MAGM_ICI,10.0000,,,,,,,,,1142.53,1.9725,0.1638,114.25
1,19,A16       ,U         ,16_T1,20230801_MAGM_ICI,3.0000,,,,,,,,,298.08,1.9512,0.1425,99.36
1,20,A17       ,U         ,13_T2,20230801_MAGM_ICI,3.0000,,,,,,,,,264.58,1.9352,0.1265,88.19
1,21,A18       ,U         ,14_T2,20230801_MAGM_ICI,3.0000,,,,,,,,,751.41,2.1534,0.3587,250.47
1,22,A19       ,U         ,16_T2,20230801_MAGM_ICI,3.0000,,,,,,,,,519.14,2.0474,0.2479,173.05
1,23,A20       ,U         ,13_T3,20230801_MAGM_ICI,3.0000,,,,,,,,,296.18,1.9471,0.1416,98.73
1,24,A21       ,U         ,14_T3,20230801_MAGM_ICI,3.0000,,,,,,,,,302.12,1.9489,0.1444,100.71
1,25,A22       ,U         ,15_T3,20230801_MAGM_ICI,3.0000,,,,,,,,,373.89,1.9794,0.1787,124.63
1,26,WT        ,WI        ,WashIgnore,,1.0000,,,,,,,,,-0.35,1.8161,-0.0001,-0.35
1,27,A23       ,D         ,Drift,25,1.0000,,,,,,,,,25.78,1.8537,0.0372,25.78
1,28,WT        ,W         ,Wash,,1.0000,,,,,,,,,-0.25,1.8167,0.0000,-0.25
1,29,A24       ,Q2        ,Quality Control2,50,1.0000,,,,,,,,,54.64,1.8876,0.0785,54.64
1,30,A25       ,U         ,1C_T1,20230627_FORB_ICI,3.0000,,,,,,,,,403.40,1.9909,0.1927,134.47
1,31,A26       ,U         ,4D_T1,20230627_FORB_ICI,10.0000,,,,,,,,,1930.06,2.0669,0.2765,193.01
1,32,A27       ,U         ,1_IN_T2,20230627_FORB_ICI,3.0000,,,,,,,,,338.61,1.9635,0.1618,112.87
1,33,A28       ,U         ,1B_T2,20230627_FORB_ICI,3.0000,,,,,,,,,358.59,1.9724,0.1714,119.53
1,34,A29       ,U         ,1C_T2,20230627_FORB_ICI,3.0000,,,,,,,,,447.76,2.0112,0.2139,149.25
1,35,A30       ,U         ,3A_T2,20230627_FORB_ICI,3.0000,,,,,,,,,352.67,1.9703,0.1685,117.56
1,36,A31       ,U         ,3D_T2,20230627_FORB_ICI,3.0000,,,,,,,,,335.13,1.9629,0.1602,111.71
1,37,A32       ,U         ,4D_T2,20230627_FORB_ICI,3.0000,,,,,,,,,849.52,2.1869,0.4055,283.17
1,38,A33       ,U         ,1_IN_T3,20230627_FORB_ICI,3.0000,,,,,,,,,493.94,2.0326,0.2359,164.65
1,39,A34       ,U         ,1A1_T3,20230627_FORB_ICI,3.0000,,,,,,,,,422.44,2.0017,0.2018,140.81
1,40,WT        ,WI        ,WashIgnore,,1.0000,,,,,,,,,1.14,1.8191,0.0020,1.14
1,41,A35       ,D         ,Wash,25,1.0000,,,,,,,,,26.27,1.8552,0.0379,26.27
1,42,WT        ,W         ,Wash,,1.0000,,,,,,,,,-0.25,1.8173,0.0000,-0.25
1,43,A36       ,Q1        ,Quality Control1,0,1.0000,,,,,,,,,5.54,1.8258,0.0083,5.54
1,44,A37       ,U         ,1A2_T3,20230627_FORB_ICI,3.0000,,,,,,,,,390.21,2.0041,0.1864,130.07
1,45,A38       ,U         ,1B_T3,20230627_FORB_ICI,3.0000,,,,,,,,,419.39,2.0181,0.2003,139.80
1,46,A39       ,U         ,1C_T3,20230627_FORB_ICI,3.0000,,,,,,,,,474.15,2.0444,0.2265,158.05
1,47,A40       ,U         ,3_IN_T3,20230627_FORB_ICI,3.0000,,,,,,,,,460.76,2.0381,0.2201,153.59
1,48,A41       ,U         ,3A_T3,20230627_FORB_ICI,3.0000,,,,,,,,,572.21,2.0914,0.2732,190.74
1,49,A42       ,U         ,3B_T3,20230627_FORB_ICI,3.0000,,,,,,,,,419.54,2.0188,0.2004,139.85
1,50,A43       ,U         ,3C_T3,20230627_FORB_ICI,3.0000,,,,,,,,,438.48,2.0280,0.2095,146.16
1,51,A44       ,U         ,3D_T3,20230627_FORB_ICI,3.0000,,,,,,,,,513.86,2.0640,0.2454,171.29
1,52,A45       ,U         ,4_IN_T3,20230627_FORB_ICI,3.0000,,,,,,,,,91.04,1.8626,0.0438,30.35
1,53,A46       ,U         ,4B_T3,20230627_FORB_ICI,3.0000,,,,,,,,,307.85,1.9661,0.1472,102.62
1,54,A47       ,U         ,4C_T3,20230627_FORB_ICI,3.0000,,,,,,,,,412.32,2.0161,0.1970,137.44
1,55,A48       ,U         ,4D_T3,20230627_FORB_ICI,3.0000,,,,,,,,,678.33,2.1431,0.3238,226.11
1,56,WT        ,WI        ,WashIgnore,,1.0000,,,,,,,,,0.58,1.8206,0.0012,0.58
1,57,A49       ,D         ,Drift,25,1.0000,,,,,,,,,29.78,1.8625,0.0430,29.78
1,58,WT        ,W         ,Wash,,1.0000,,,,,,,,,-0.25,1.8197,0.0000,-0.25
1,59,E         ,E         ,EndRun,,1.0000,,,,,,,,,-0.25,1.8198,0.0000,-0.25
