NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results,NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results,orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results,NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,13,A11       ,D         ,Drift,25,1.0000,26.88,2.1424,0.0100,26.88,26.55,1.1106,0.0296,26.55,25.01,1.8472,0.0366,25.01
1,14,WT        ,W         ,Wash,,1.0000,1.94,2.1321,0.0000,1.94,3.07,1.0810,0.0000,3.07,-2.01,1.8107,0.0000,-2.01
1,15,A12       ,Q1        ,Quality Control1,0,1.0000,2.76,2.1325,0.0003,2.76,3.00,1.0808,-0.0001,3.00,0.86,1.8149,0.0039,0.86
1,16,A13       ,U         ,W04143,20230808_FOSR_stream_inflow_F,1.0000,298.21,2.2507,0.1186,298.21,16.27,1.0974,0.0167,16.27,11.99,1.8304,0.0190,11.99
1,17,A14       ,U         ,W04144,20230808_FOSR_stream_outflow_F,1.0000,231.57,2.2240,0.0920,231.57,13.13,1.0934,0.0127,13.13,21.56,1.8438,0.0319,21.56
1,18,A15       ,U         ,W04145,20230808_FOSR_shale_drop_F,1.0000,213.21,2.2167,0.0846,213.21,12.67,1.0928,0.0121,12.67,31.76,1.8583,0.0458,31.76
1,19,A16       ,U         ,W04146,20230808_FOSR_floodplain_F,1.0000,9.73,2.1353,0.0031,9.73,7.60,1.0864,0.0057,7.60,48.05,1.8813,0.0678,48.05
1,20,A17       ,U         ,W04198,20230808_FOSR_blank_F,1.0000,2.80,2.1325,0.0003,2.80,3.17,1.0808,0.0001,3.17,1.38,1.8168,0.0046,1.38
1,21,A18       ,U         ,W04147,20230808_HEAD_southeast_F,1.0000,3.63,2.1329,0.0007,3.63,3.48,1.0812,0.0005,3.48,8.33,1.8268,0.0140,8.33
1,22,A19       ,U         ,W04148,20230808_HEAD_outflow_F,1.0000,3.75,2.1329,0.0007,3.75,2.95,1.0805,-0.0001,2.95,7.99,1.8266,0.0136,7.99
1,23,A20       ,U         ,W04149,20230808_HEAD_northwest_F,1.0000,7.25,2.1343,0.0021,7.25,3.38,1.0810,0.0004,3.38,7.18,1.8257,0.0125,7.18
1,24,A21       ,U         ,W04150,20230808_HEAD_southwest_F,1.0000,3.99,2.1330,0.0008,3.99,3.30,1.0808,0.0003,3.30,6.34,1.8248,0.0113,6.34
1,25,A22       ,U         ,W04199,20230808_HEAD_blank_F,1.0000,2.14,2.1323,0.0001,2.14,3.37,1.0809,0.0004,3.37,0.73,1.8171,0.0037,0.73
1,26,WT        ,WI        ,WashIgnore,,1.0000,1.84,2.1322,0.0000,1.84,2.78,1.0801,-0.0004,2.78,-1.77,1.8138,0.0003,-1.77
1,27,A23       ,D         ,Drift,25,1.0000,39.33,2.1472,0.0150,39.33,25.93,1.1092,0.0288,25.93,26.47,1.8522,0.0386,26.47
1,28,WT        ,W         ,Wash,,1.0000,1.94,2.1322,0.0000,1.94,3.07,1.0804,0.0000,3.07,-2.01,1.8139,0.0000,-2.01
1,29,A24       ,Q2        ,Quality Control 2,10,1.0000,12.69,2.1365,0.0043,12.69,11.01,1.0902,0.0100,11.01,11.68,1.8334,0.0186,11.68
1,30,A25       ,U         ,W04177,20230908_MAGM_openwater3_rb_F,1.0000,5.18,2.1334,0.0013,5.18,4.59,1.0823,0.0019,4.59,20.45,1.8460,0.0304,20.45
1,31,A26       ,U         ,W04178,20230908_MAGM_sav8_rb_F,1.0000,4.19,2.1330,0.0009,4.19,4.76,1.0825,0.0021,4.76,13.82,1.8365,0.0215,13.82
1,32,A27       ,U         ,W04179,20230908_MAGM_sav12_rb_F,1.0000,2.50,2.1322,0.0002,2.50,6.39,1.0846,0.0042,6.39,12.00,1.8339,0.0190,12.00
1,33,A28       ,U         ,W04180,20230908_MAGM_hardwoods14_rb_F,1.0000,2.22,2.1321,0.0001,2.22,93.18,1.1932,0.1137,93.18,209.72,2.1175,0.2869,209.72
1,34,A29       ,U         ,W04181,20230908_MAGM_east1_rb_F,1.0000,58.03,2.1543,0.0225,58.03,50.54,1.1400,0.0599,50.54,222.23,2.1357,0.3038,222.23
1,35,A30       ,U         ,W04182,20230908_MAGM_east5_rb,1.0000,4.33,2.1328,0.0010,4.33,14.23,1.0945,0.0141,14.23,21.70,1.8478,0.0321,21.70
1,36,A31       ,U         ,W04183,20230908_MAGM_west1_rb_F,1.0000,2.64,2.1321,0.0003,2.64,17.98,1.0993,0.0188,17.98,15.53,1.8390,0.0238,15.53
1,37,A32       ,U         ,W04184,20230908_MAGM_west5_rb_F,1.0000,2.50,2.1320,0.0002,2.50,8.28,1.0871,0.0066,8.28,18.77,1.8436,0.0282,18.77
1,38,A33       ,U         ,W04185,20231003_MAGM_4_ICI_F,1.0000,3.35,2.1322,0.0006,3.35,15.21,1.0960,0.0153,15.21,15.33,1.8387,0.0235,15.33
1,39,A34       ,U         ,W04186,20231003_MAGM_2_ICI_F,1.0000,2.78,2.1320,0.0003,2.78,7.56,1.0863,0.0057,7.56,12.49,1.8346,0.0197,12.49
1,40,WT        ,WI        ,WashIgnore,,1.0000,1.66,2.1315,-0.0001,1.66,3.11,1.0806,0.0000,3.11,-0.62,1.8157,0.0019,-0.62
1,41,A35       ,D         ,Drift,25,1.0000,38.51,2.1461,0.0146,38.51,26.90,1.1107,0.0301,26.90,31.43,1.8619,0.0453,31.43
1,42,WT        ,W         ,Wash,,1.0000,1.94,2.1315,0.0000,1.94,3.07,1.0806,0.0000,3.07,-2.01,1.8136,0.0000,-2.01
1,43,A36       ,Q3        ,std 4,50,1.0000,52.72,2.1516,0.0203,52.72,50.58,1.1413,0.0599,50.58,58.45,1.9013,0.0819,58.45
1,44,A37       ,U         ,W04187,20231003_MAGM_3_ICI_F,1.0000,3.39,2.1320,0.0006,3.39,5.94,1.0843,0.0036,5.94,12.25,1.8349,0.0193,12.25
1,45,A38       ,U         ,W04188,20231003_MAGM_1_ICI_F,1.0000,2.49,2.1316,0.0002,2.49,10.91,1.0907,0.0099,10.91,15.71,1.8403,0.0240,15.71
1,46,A39       ,U         ,W04189,20231020_CHIL_chipcreek_outet_F,1.0000,544.66,2.3467,0.2173,544.66,50.65,1.1412,0.0600,50.65,14.94,1.8395,0.0230,14.94
1,47,A40       ,U         ,W04190,20231020_CHIL_wetlandoultet_F,1.0000,1683.03,2.7984,0.6732,1683.03,36.03,1.1225,0.0416,36.03,443.75,2.4617,0.6040,443.75
1,48,A41       ,U         ,W04191,20231020_CHIL_chipcreek_inlet_F,1.0000,469.19,2.3166,0.1871,469.19,47.37,1.1369,0.0559,47.37,18.13,1.8448,0.0273,18.13
1,49,A42       ,U         ,W04192,20231020_CHIL_wetlandinlet_F,1.0000,2259.77,3.0267,0.9042,2259.77,11.86,1.0919,0.0111,11.86,695.66,2.8291,0.9453,695.66
1,50,A43       ,U         ,W04200,20231020_CHIL_blank_F,1.0000,42.54,2.1473,0.0163,42.54,3.76,1.0817,0.0009,3.76,3.98,1.8250,0.0081,3.98
1,51,A44       ,U         ,W04193,20231107_TRUC_hummockpool_F,1.0000,13.41,2.1357,0.0046,13.41,10.00,1.0896,0.0087,10.00,25.80,1.8571,0.0377,25.80
1,52,A45       ,U         ,W04194,20231107_TRUC_borrowpool1_F,1.0000,9.37,2.1341,0.0030,9.37,8.37,1.0876,0.0067,8.37,13.97,1.8402,0.0217,13.97
1,53,A46       ,U         ,W04195,20231107_TRUC_borrowpool2_F,1.0000,5.49,2.1325,0.0014,5.49,4.96,1.0833,0.0024,4.96,10.05,1.8348,0.0163,10.05
1,54,WT        ,WI        ,WashIgnore,,1.0000,1.76,2.1310,-0.0001,1.76,3.01,1.0809,-0.0001,3.01,-1.65,1.8181,0.0005,-1.65
1,55,A47       ,D         ,Drift,25,1.0000,26.60,2.1409,0.0099,26.60,26.34,1.1103,0.0294,26.34,27.09,1.8573,0.0394,27.09
1,56,WT        ,W         ,Wash,,1.0000,1.94,2.1310,0.0000,1.94,3.07,1.0810,0.0000,3.07,-2.01,1.8182,0.0000,-2.01
1,57,A48       ,Q1        ,Quality Control1,0,1.0000,3.22,2.1315,0.0005,3.22,2.94,1.0809,-0.0002,2.94,5.72,1.8297,0.0105,5.72
1,58,A49       ,U         ,W04196,20231107_TRUC_wcs_F,1.0000,6.33,2.1327,0.0018,6.33,5.70,1.0844,0.0033,5.70,24.09,1.8567,0.0354,24.09
1,59,A50       ,U         ,W04197,20231107_TRUC_outflow_F,1.0000,35.96,2.1446,0.0136,35.96,5.97,1.0847,0.0037,5.97,42.08,1.8832,0.0597,42.08
1,60,A51       ,U         ,W04197_rep,,1.0000,34.40,2.1439,0.0130,34.40,6.19,1.0850,0.0039,6.19,39.28,1.8793,0.0559,39.28
1,61,A52       ,U         ,W04201,20231107_TRUC_blank_F,1.0000,2.49,2.1311,0.0002,2.49,3.09,1.0811,0.0000,3.09,3.32,1.8268,0.0072,3.32
1,62,A53       ,U         ,W04146_rep,,1.0000,4.19,2.1318,0.0009,4.19,6.74,1.0857,0.0046,6.74,48.06,1.8925,0.0678,48.06
1,63,A54       ,U         ,W04150_rep,,1.0000,3.66,2.1316,0.0007,3.66,3.43,1.0816,0.0004,3.43,6.31,1.8314,0.0113,6.31
1,64,A55       ,U         ,W04184_rep,,1.0000,4.24,2.1318,0.0009,4.24,6.30,1.0852,0.0041,6.30,18.21,1.8490,0.0274,18.21
1,65,A56       ,U         ,W04188_rep,,1.0000,3.01,2.1313,0.0004,3.01,10.61,1.0907,0.0095,10.61,14.48,1.8437,0.0223,14.48
1,66,A57       ,U         ,W04192_rep,,1.0000,2166.71,2.9978,0.8669,2166.71,10.24,1.0902,0.0090,10.24,655.83,2.7876,0.8913,655.83
1,67,A58       ,U         ,W04190,rerun,4.0000,1741.59,2.3044,0.1736,435.40,41.56,1.0904,0.0092,10.39,481.31,1.9999,0.1658,120.33
1,68,A59       ,U         ,W04192,rerun,4.0000,2166.26,2.3469,0.2161,541.56,20.00,1.0836,0.0024,5.00,657.39,2.0651,0.2254,164.35
1,69,A60       ,U         ,W04200,rerun,1.0000,4.80,2.1320,0.0011,4.80,3.16,1.0813,0.0001,3.16,2.47,1.8266,0.0061,2.47
1,70,WT        ,WI        ,WashIgnore,,1.0000,3.56,2.1315,0.0007,3.56,2.90,1.0810,-0.0002,2.90,-1.51,1.8209,0.0007,-1.51
1,71,A61       ,D         ,Drift,25,1.0000,66.56,2.1567,0.0259,66.56,22.46,1.1057,0.0245,22.46,27.45,1.8602,0.0399,27.45
1,72,WT        ,W         ,Wash,,1.0000,1.94,2.1308,0.0000,1.94,3.07,1.0813,0.0000,3.07,-2.01,1.8204,0.0000,-2.01
1,73,E         ,E         ,EndRun,,1.0000,1.94,2.1306,0.0000,1.94,3.07,1.0812,0.0000,3.07,-2.01,1.8211,0.0000,-2.01
