NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,31,A26       ,U         ,2A3,precip,3.0000,48.75,1.0048,0.0113,16.25,110.10,1.1243,0.0358,36.70,2925.27,2.8328,1.7899,975.09
1,32,A27       ,U         ,2B1,,3.0000,43.99,1.0039,0.0102,14.66,132.99,1.1334,0.0454,44.33,3156.82,2.9892,1.9308,1052.27
1,33,A28       ,U         ,2B2,precip,3.0000,29.38,1.0009,0.0069,9.79,1504.55,1.6741,0.6208,501.52,2746.62,2.7306,1.6813,915.54
1,34,A29       ,U         ,2B3,precip,3.0000,38.29,1.0029,0.0089,12.76,43.93,1.0985,0.0081,14.64,3176.20,3.0163,1.9425,1058.73
1,35,A30       ,U         ,2C1,,3.0000,51.52,1.0058,0.0119,17.17,413.85,1.2435,0.1632,137.95,2781.71,2.7663,1.7026,927.24
1,36,A31       ,U         ,2C2,,3.0000,30.42,1.0015,0.0071,10.14,435.11,1.2515,0.1722,145.04,1788.51,2.1231,1.0986,596.17
1,37,A32       ,U         ,2C3,precip,3.0000,57.90,1.0072,0.0133,19.30,212.99,1.1647,0.0790,71.00,2482.84,2.5832,1.5209,827.61
1,38,WT        ,WI        ,WashIgnore,,1.0000,-0.67,0.9951,-0.0003,-0.67,9.47,1.0931,0.0016,9.47,-1.43,0.9522,0.0084,-1.43
1,39,A33       ,D         ,Drift,25,1.0000,31.69,1.0173,0.0218,31.69,13.89,1.0984,0.0071,13.89,26.70,1.0088,0.0597,26.70
1,40,WT        ,W         ,Wash,,1.0000,-0.29,0.9956,0.0000,-0.29,8.24,1.0920,0.0000,8.24,-6.03,0.9449,0.0000,-6.03
1,41,A34       ,Q3        ,Quality Control3,200,1.0000,233.24,1.1354,0.1589,233.24,109.42,1.2087,0.1273,109.42,196.79,1.3496,0.3700,196.79
1,42,A35       ,U         ,3A1,,1.0000,56.38,1.0296,0.0386,56.38,64.73,1.1570,0.0711,64.73,348.81,1.6552,0.6474,348.81
1,43,A36       ,U         ,3A2,,1.0000,23.94,1.0104,0.0165,23.94,94.69,1.1911,0.1088,94.69,30.27,1.0195,0.0662,30.27
1,44,A37       ,U         ,3A3,,1.0000,1.62,0.9974,0.0013,1.62,488.69,1.6404,0.6046,488.69,178.85,1.3191,0.3373,178.85
1,45,A38       ,U         ,3B1,precip,1.0000,53.18,1.0275,0.0364,53.18,22.85,1.1089,0.0184,22.85,405.56,1.7780,0.7509,405.56
1,46,A39       ,U         ,3B2,,1.0000,22.45,1.0097,0.0155,22.45,148.37,1.2512,0.1764,148.37,78.01,1.1186,0.1533,78.01
1,47,A40       ,U         ,3B3,,1.0000,52.16,1.0268,0.0357,52.16,28.97,1.1158,0.0261,28.97,100.15,1.1646,0.1937,100.15
1,48,A41       ,U         ,3C1,,1.0000,61.55,1.0320,0.0421,61.55,113.03,1.2104,0.1319,113.03,304.43,1.5815,0.5664,304.43
1,49,A42       ,U         ,3C2,,1.0000,4.39,0.9997,0.0032,4.39,140.87,1.2413,0.1669,140.87,131.67,1.2315,0.2512,131.67
1,50,A43       ,U         ,3C3,,1.0000,13.03,1.0047,0.0091,13.03,77.67,1.1702,0.0874,77.67,197.67,1.3680,0.3716,197.67
1,51,WT        ,WI        ,WashIgnore,,1.0000,-0.16,0.9974,0.0001,-0.16,9.42,1.0939,0.0015,9.42,-3.16,0.9577,0.0052,-3.16
1,52,A44       ,D         ,Drift,25,1.0000,28.78,1.0173,0.0198,28.78,11.01,1.0958,0.0035,11.01,23.52,1.0133,0.0539,23.52
1,53,WT        ,W         ,Wash,,1.0000,-0.29,0.9977,0.0000,-0.29,8.24,1.0928,0.0000,8.24,-6.03,0.9531,0.0000,-6.03
1,54,A45       ,Q1        ,Quality Control1,,1.0000,3.66,0.9993,0.0027,3.66,10.84,1.0958,0.0033,10.84,6.27,0.9783,0.0224,6.27
1,55,A46       ,U         ,4A1,,3.0000,84.56,1.0124,0.0194,28.19,807.90,1.3800,0.3285,269.30,1396.93,1.9321,0.8605,465.64
1,56,A47       ,U         ,4A2,,1.0000,29.74,1.0127,0.0204,29.74,119.84,1.2154,0.1405,119.84,30.94,1.0295,0.0674,30.94
1,57,A48       ,U         ,4A3,,3.0000,102.83,1.0147,0.0235,34.28,137.54,1.1344,0.0473,45.85,1746.21,2.1806,1.0729,582.07
1,58,A49       ,U         ,4B1,,3.0000,102.64,1.0142,0.0235,34.21,1413.79,1.5971,0.5827,471.26,1648.71,2.1158,1.0136,549.57
1,59,A50       ,U         ,4B2,,1.0000,43.77,1.0190,0.0300,43.77,90.08,1.1823,0.1030,90.08,26.19,1.0196,0.0588,26.19
1,60,A51       ,U         ,4B3,,3.0000,56.10,1.0046,0.0129,18.70,458.35,1.2499,0.1819,152.78,1998.14,2.3675,1.2261,666.05
1,61,A52       ,U         ,4C1,,3.0000,59.92,1.0048,0.0138,19.97,719.88,1.3433,0.2916,239.96,1078.73,1.7239,0.6670,359.58
1,62,A53       ,U         ,4C2,,1.0000,28.68,1.0091,0.0197,28.68,137.32,1.2325,0.1624,137.32,40.07,1.0490,0.0841,40.07
1,63,A54       ,U         ,4C3,,3.0000,61.38,1.0040,0.0141,20.46,319.21,1.1991,0.1235,106.40,1597.98,2.0956,0.9828,532.66
1,64,WT        ,WI        ,WashIgnore,,1.0000,-2.27,0.9908,-0.0013,-2.27,10.16,1.0964,0.0024,10.16,-4.80,0.9536,0.0022,-4.80
1,65,A55       ,D         ,Drift,25,1.0000,69.45,1.0303,0.0475,69.45,12.45,1.0989,0.0053,12.45,28.03,1.0129,0.0621,28.03
1,66,WT        ,W         ,Wash,,1.0000,-0.29,0.9909,0.0000,-0.29,8.24,1.0946,0.0000,8.24,-6.03,0.9506,0.0000,-6.03
1,67,A56       ,Q2        ,Quality Control2,,1.0000,62.06,1.0257,0.0424,62.06,18.76,1.1057,0.0132,18.76,44.60,1.0588,0.0924,44.60
1,68,A57       ,U         ,5A1,precip,3.0000,71.65,1.0044,0.0165,23.88,92.19,1.1182,0.0283,30.73,1753.64,2.2141,1.0774,584.55
1,69,A58       ,U         ,5A2,,1.0000,72.31,1.0315,0.0494,72.31,102.30,1.1930,0.1184,102.30,17.96,1.0015,0.0438,17.96
1,70,A59       ,U         ,5A3,,1.0000,19.30,1.0018,0.0133,19.30,127.42,1.2188,0.1500,127.42,286.84,1.5774,0.5343,286.84
1,71,A60       ,U         ,5B1,,3.0000,65.63,1.0032,0.0151,21.88,105.85,1.1227,0.0340,35.28,1591.07,2.0996,0.9786,530.36
1,72,A61       ,U         ,5B2,,1.0000,46.96,1.0173,0.0322,46.96,78.40,1.1672,0.0883,78.40,14.86,0.9945,0.0381,14.86
1,73,A62       ,U         ,5B3,,1.0000,11.92,0.9976,0.0083,11.92,128.96,1.2190,0.1519,128.96,323.31,1.6563,0.6008,323.31
1,74,A63       ,U         ,5C1,,3.0000,52.51,1.0007,0.0121,17.50,102.91,1.1213,0.0328,34.30,1648.72,2.1422,1.0136,549.57
1,75,A64       ,U         ,5C2,,1.0000,11.40,0.9973,0.0080,11.40,84.61,1.1727,0.0961,84.61,34.75,1.0369,0.0744,34.75
1,76,A65       ,U         ,5C3,,1.0000,281.28,1.1495,0.1916,281.28,204.10,1.2942,0.2465,204.10,202.21,1.3967,0.3799,202.21
1,77,WT        ,WI        ,WashIgnore,,1.0000,-0.17,0.9907,0.0001,-0.17,10.29,1.0966,0.0026,10.29,-4.80,0.9516,0.0022,-4.80
1,78,A66       ,D         ,Drift,25,1.0000,103.08,1.0491,0.0703,103.08,11.79,1.0981,0.0045,11.79,28.27,1.0114,0.0626,28.27
1,79,WT        ,W         ,Wash,,1.0000,-0.29,0.9906,0.0000,-0.29,8.24,1.0945,0.0000,8.24,-6.03,0.9487,0.0000,-6.03
1,80,A67       ,Q3        ,Quality Control3,,1.0000,244.67,1.1294,0.1667,244.67,96.87,1.1837,0.1115,96.87,183.47,1.3562,0.3457,183.47
1,81,A68       ,U         ,6A1,precip,1.0000,108.16,1.0523,0.0738,108.16,525.62,1.6124,0.6511,525.62,374.65,1.7670,0.6945,374.65
1,82,A69       ,U         ,6A2,,1.0000,8.45,0.9958,0.0059,8.45,124.37,1.2107,0.1461,124.37,15.86,0.9962,0.0399,15.86
1,83,A70       ,U         ,6A3,,3.0000,-35.35,0.9844,-0.0078,-11.78,1541.26,1.5969,0.6362,513.75,900.56,1.6068,0.5587,300.19
1,84,A71       ,U         ,6B1,,1.0000,74.36,1.0334,0.0508,74.36,512.46,1.5939,0.6346,512.46,233.05,1.4626,0.4362,233.05
1,85,A72       ,U         ,6B2,,1.0000,15.88,1.0003,0.0110,15.88,147.29,1.2323,0.1750,147.29,11.85,0.9880,0.0326,11.85
1,86,A73       ,U         ,6B3,,3.0000,7.97,0.9928,0.0020,2.66,1483.55,1.5727,0.6120,494.52,847.43,1.5685,0.5263,282.48
1,87,A74       ,U         ,6C1,precip,1.0000,52.91,1.0216,0.0362,52.91,567.78,1.6426,0.7042,567.78,335.14,1.6813,0.6224,335.14
1,88,A75       ,U         ,6C2,,1.0000,9.11,0.9967,0.0064,9.11,162.55,1.2460,0.1942,162.55,15.63,0.9965,0.0395,15.63
1,89,A76       ,U         ,6C3,,3.0000,-16.29,0.9885,-0.0035,-5.43,1728.72,1.6468,0.7148,576.24,1008.55,1.6833,0.6243,336.18
1,90,WT        ,WI        ,WashIgnore,,1.0000,-0.65,0.9913,-0.0002,-0.65,12.13,1.0997,0.0049,12.13,-5.27,0.9521,0.0014,-5.27
1,91,A77       ,D         ,Drift,25,1.0000,39.11,1.0141,0.0268,39.11,13.00,1.1007,0.0060,13.00,28.09,1.0129,0.0622,28.09
1,92,WT        ,W         ,Wash,,1.0000,-0.29,0.9916,0.0000,-0.29,8.24,1.0962,0.0000,8.24,-6.03,0.9508,0.0000,-6.03
1,93,A78       ,Q1        ,Quality Control1,,1.0000,4.59,0.9944,0.0033,4.59,8.34,1.0963,0.0001,8.34,8.63,0.9821,0.0267,8.63
1,94,A79       ,U         ,7A1,precip,1.0000,52.67,1.0221,0.0360,52.67,312.96,1.3860,0.3835,312.96,371.41,1.7540,0.6886,371.41
1,95,A80       ,U         ,7A2,,1.0000,3.15,0.9937,0.0023,3.15,175.33,1.2544,0.2103,175.33,95.79,1.1672,0.1857,95.79
1,96,A81       ,U         ,7A3,,1.0000,7.49,0.9962,0.0053,7.49,347.83,1.4165,0.4274,347.83,207.74,1.4041,0.3900,207.74
1,97,A82       ,U         ,7B1,precip,3.0000,49.38,1.0014,0.0114,16.46,98.59,1.1192,0.0310,32.86,2474.82,2.7088,1.5160,824.94
1,98,A83       ,U         ,7B2,,1.0000,6.16,0.9955,0.0044,6.16,182.33,1.2590,0.2191,182.33,153.26,1.2875,0.2906,153.26
1,99,A84       ,U         ,7B3,,1.0000,51.12,1.0214,0.0350,51.12,22.50,1.1094,0.0179,22.50,224.96,1.4380,0.4214,224.96
1,100,A85       ,U         ,7C1,precip,3.0000,59.90,1.0035,0.0138,19.97,142.94,1.1326,0.0496,47.65,1387.26,1.9364,0.8546,462.42
1,101,A86       ,U         ,7C2,,1.0000,9.92,0.9977,0.0069,9.92,346.64,1.4088,0.4259,346.64,207.03,1.3986,0.3887,207.03
1,102,A87       ,U         ,7C3,,1.0000,2.42,0.9934,0.0018,2.42,535.53,1.5814,0.6636,535.53,212.84,1.4099,0.3993,212.84
1,103,WT        ,WI        ,WashIgnore,,1.0000,-1.06,0.9915,-0.0005,-1.06,13.22,1.1005,0.0063,13.22,-4.21,0.9554,0.0033,-4.21
1,104,A88       ,D         ,Drift,25,1.0000,30.27,1.0127,0.0208,30.27,11.27,1.0987,0.0038,11.27,27.23,1.0123,0.0607,27.23
1,105,WT        ,W         ,Wash,,1.0000,-0.29,0.9919,0.0000,-0.29,8.24,1.0959,0.0000,8.24,-6.03,0.9517,0.0000,-6.03
1,106,A89       ,Q2        ,Quality Control2,,1.0000,56.58,1.0250,0.0387,56.58,18.88,1.1056,0.0134,18.88,52.97,1.0596,0.1076,52.97
1,107,A90       ,U         ,8A1,,1.0000,54.72,1.0239,0.0374,54.72,67.68,1.1495,0.0748,67.68,260.57,1.4387,0.4864,260.57
1,108,A91       ,U         ,8A2,,1.0000,9.46,0.9977,0.0066,9.46,123.39,1.1993,0.1449,123.39,23.09,1.0057,0.0531,23.09
1,109,A92       ,U         ,8A3,,1.0000,7.55,0.9966,0.0053,7.55,598.70,1.6239,0.7431,598.70,182.89,1.2975,0.3447,182.89
1,110,A93       ,U         ,8B1,,1.0000,50.90,1.0219,0.0348,50.90,158.39,1.2296,0.1890,158.39,290.22,1.4936,0.5405,290.22
1,111,A94       ,U         ,8B2,,1.0000,6.88,0.9963,0.0049,6.88,153.30,1.2246,0.1826,153.30,30.43,1.0199,0.0665,30.43
1,112,A95       ,U         ,8B3,,1.0000,9.37,0.9978,0.0066,9.37,386.83,1.4302,0.4765,386.83,224.06,1.3734,0.4198,224.06
1,113,A96       ,U         ,8C1,precip,1.0000,61.38,1.0282,0.0420,61.38,82.55,1.1613,0.0935,82.55,185.16,1.3028,0.3488,185.16
1,114,A97       ,U         ,8C2,,1.0000,17.90,1.0029,0.0124,17.90,83.24,1.1616,0.0944,83.24,47.62,1.0521,0.0979,47.62
1,115,A98       ,U         ,8C3,,1.0000,9.50,0.9980,0.0067,9.50,268.27,1.3226,0.3272,268.27,201.96,1.3339,0.3794,201.96
1,116,WT        ,WI        ,WashIgnore,,1.0000,-0.12,0.9924,0.0001,-0.12,11.33,1.0987,0.0039,11.33,-2.28,0.9616,0.0068,-2.28
1,117,A99       ,D         ,Drift,25,1.0000,30.55,1.0134,0.0210,30.55,11.34,1.0987,0.0039,11.34,31.55,1.0236,0.0686,31.55
1,118,WT        ,W         ,Wash,,1.0000,-0.29,0.9924,0.0000,-0.29,8.24,1.0961,0.0000,8.24,-6.03,0.9553,0.0000,-6.03
1,119,A100      ,Q3        ,Quality Control3,,1.0000,229.38,1.1271,0.1563,229.38,83.16,1.1602,0.0943,83.16,209.71,1.3498,0.3936,209.71
1,120,A1        ,U         ,9A1,precip,1.0000,47.10,1.0203,0.0322,47.10,104.27,1.1778,0.1209,104.27,274.71,1.4692,0.5122,274.71
1,121,A2        ,U         ,9A2,precip,1.0000,49.81,1.0220,0.0341,49.81,62.67,1.1421,0.0685,62.67,237.61,1.4024,0.4445,237.61
1,122,A3        ,U         ,9A3,,1.0000,27.33,1.0088,0.0188,27.33,28.92,1.1133,0.0260,28.92,190.42,1.3172,0.3584,190.42
1,123,A4        ,U         ,9B1,precip,1.0000,40.94,1.0169,0.0281,40.94,27.03,1.1116,0.0236,27.03,277.89,1.4777,0.5180,277.89
1,124,A5        ,U         ,9B2,precip,1.0000,48.92,1.0217,0.0335,48.92,31.68,1.1154,0.0295,31.68,295.52,1.5107,0.5501,295.52
1,125,A6        ,U         ,9B3,precip,1.0000,41.02,1.0171,0.0281,41.02,25.30,1.1100,0.0215,25.30,335.02,1.5836,0.6222,335.02
1,126,A7        ,U         ,9C1,precip,1.0000,40.98,1.0171,0.0281,40.98,24.42,1.1091,0.0204,24.42,299.79,1.5202,0.5579,299.79
1,127,A8        ,U         ,9C2,precip,1.0000,38.90,1.0160,0.0267,38.90,25.76,1.1101,0.0220,25.76,357.66,1.6267,0.6635,357.66
1,128,A9        ,U         ,9C3,precip,1.0000,55.53,1.0259,0.0380,55.53,21.75,1.1067,0.0170,21.75,365.09,1.6411,0.6771,365.09
1,129,WT        ,WI        ,WashIgnore,,1.0000,-0.77,0.9925,-0.0003,-0.77,11.53,1.0982,0.0041,11.53,14.05,1.0015,0.0366,14.05
1,130,A10       ,U         ,Blank_U,2M KCl blank unfiltered,1.0000,70.41,1.0350,0.0481,70.41,9.89,1.0969,0.0021,9.89,27.03,1.0261,0.0603,27.03
1,131,A11       ,U         ,Blank_F,2M KCl blank filtered,1.0000,56.26,1.0266,0.0385,56.26,9.29,1.0963,0.0013,9.29,22.76,1.0191,0.0525,22.76
1,132,A12       ,U         ,Resin_blank,clean resin and KCl,1.0000,6.30,0.9968,0.0045,6.30,21.99,1.1065,0.0173,21.99,7.99,0.9931,0.0256,7.99
1,133,WT        ,WI        ,WashIgnore,,1.0000,-1.51,0.9922,-0.0008,-1.51,8.52,1.0956,0.0004,8.52,-1.73,0.9762,0.0078,-1.73
1,134,A13       ,D         ,Wash,25,1.0000,31.32,1.0145,0.0215,31.32,10.69,1.0973,0.0031,10.69,28.41,1.0321,0.0628,28.41
1,135,WT        ,W         ,Wash,,1.0000,-0.29,0.9930,0.0000,-0.29,8.24,1.0953,0.0000,8.24,-6.03,0.9701,0.0000,-6.03
1,136,A14       ,S1        ,Standard1,0,1.0000,3.73,0.9955,0.0027,3.73,7.89,1.0955,-0.0004,7.89,-1.28,0.9780,0.0087,-1.28
1,137,A15       ,S2        ,Standard2,5,1.0000,9.12,0.9987,0.0064,9.12,7.22,1.0954,-0.0013,7.22,4.95,0.9887,0.0200,4.95
1,138,A16       ,S3        ,Standard3,10,1.0000,11.26,1.0001,0.0079,11.26,7.04,1.0957,-0.0015,7.04,7.29,0.9922,0.0243,7.29
1,139,A17       ,S4        ,Standard4,25,1.0000,32.69,1.0129,0.0224,32.69,8.16,1.0971,-0.0001,8.16,22.14,1.0186,0.0514,22.14
1,140,A18       ,S5        ,Standard5,50,1.0000,56.63,1.0271,0.0387,56.63,12.84,1.1012,0.0058,12.84,48.92,1.0667,0.1003,48.92
1,141,A19       ,S6        ,Standard6,100,1.0000,116.61,1.0628,0.0795,116.61,32.69,1.1169,0.0308,32.69,102.87,1.1644,0.1987,102.87
1,142,A20       ,S7        ,Standard7,200,1.0000,227.24,1.1283,0.1548,227.24,80.69,1.1542,0.0912,80.69,203.61,1.3475,0.3825,203.61
1,143,A21       ,S8        ,Standard8,400,1.0000,488.80,1.2830,0.3328,488.80,236.28,1.2734,0.2870,236.28,409.70,1.7227,0.7584,409.70
1,144,A22       ,S9        ,Standard9,600,1.0000,697.10,1.4059,0.4745,697.10,433.69,1.4233,0.5354,433.69,605.14,2.0785,1.1150,605.14
1,145,WT        ,WI        ,WashIgnore,,1.0000,0.84,0.9943,0.0008,0.84,25.74,1.1131,0.0220,25.74,-6.47,0.9620,-0.0008,-6.47
1,146,A23       ,D         ,Drift,25,1.0000,30.82,1.0148,0.0212,30.82,14.60,1.1083,0.0080,14.60,23.23,1.0154,0.0534,23.23
1,147,WT        ,W         ,Wash,,1.0000,-0.29,0.9937,0.0000,-0.29,8.24,1.1008,0.0000,8.24,-6.03,0.9613,0.0000,-6.03
1,148,E         ,E         ,EndRun,,1.0000,-0.29,0.9938,0.0000,-0.29,8.24,1.0999,0.0000,8.24,-6.03,0.9605,0.0000,-6.03
