NeedleNumber,ResultID,Position ,SampleType,SampleIdentity,Comments,ExternalDilution,NO3 NO2- Results[ug/L],NO3 NO2- Height,NO3 NO2- CorrectedHeight,NO3 NO2- RawResults,orthoP- Results[ug/L],orthoP- Height,orthoP- CorrectedHeight,orthoP- RawResults,NH3- Results[ug/L],NH3- Height,NH3- CorrectedHeight,NH3- RawResults
1,80,A65       ,U         ,W04061,20220920_TRUC_borrow_pool_2_F,1.0000,4.88,0.9622,0.0010,4.88,11.70,1.0845,0.0056,11.70,15.68,0.9292,0.0234,15.68
1,81,A66       ,U         ,W04059,20220920_TRUC_hummock_pool_F,1.0000,6.31,0.9633,0.0021,6.31,8.16,1.0798,0.0011,8.16,17.17,0.9319,0.0258,17.17
1,82,A67       ,U         ,W04060,20220920_TRUC_borrow_pool_1_F,1.0000,16.13,0.9707,0.0092,16.13,9.66,1.0818,0.0030,9.66,103.86,1.0775,0.1610,103.86
1,83,A68       ,D         ,Drift,100 ug/L,1.0000,109.32,1.0382,0.0770,109.32,103.80,1.2014,0.1227,103.80,108.80,1.0733,0.1687,108.80
1,84,WT        ,W         ,Wash,,1.0000,3.48,0.9612,0.0000,3.48,7.33,1.0787,0.0000,7.33,0.66,0.9048,0.0000,0.66
1,85,A69       ,Q2        ,Quality Control2,50 ug/L,1.0000,56.91,1.0015,0.0389,56.91,50.05,1.1366,0.0543,50.05,57.48,1.0006,0.0887,57.48
1,86,WT        ,WI        ,WashIgnore,,1.0000,3.62,0.9613,0.0001,3.62,7.53,1.0791,0.0003,7.53,0.60,0.9049,-0.0001,0.60
1,87,A70       ,U         ,W04063,20221117_TRUC_hummock_pool_F,1.0000,15.03,0.9700,0.0084,15.03,13.91,1.0879,0.0084,13.91,14.31,0.9282,0.0213,14.31
1,88,A71       ,U         ,W04067,20221117_TRUC_outflow_F,1.0000,5.62,0.9629,0.0016,5.62,9.85,1.0824,0.0032,9.85,13.79,0.9275,0.0205,13.79
1,89,A72       ,U         ,W04065,20221117_TRUC_borrow_pool_2_F,1.0000,7.77,0.9645,0.0031,7.77,10.26,1.0830,0.0037,10.26,7.75,0.9174,0.0111,7.75
1,90,A73       ,U         ,W04064,20221117_TRUC_borrow_pool_1_F,1.0000,38.65,0.9881,0.0256,38.65,9.02,1.0814,0.0021,9.02,33.65,0.9617,0.0515,33.65
1,91,A74       ,U         ,W04066,20221117_TRUC_wcs_F,1.0000,4.41,0.9619,0.0007,4.41,9.28,1.0818,0.0025,9.28,13.20,0.9269,0.0196,13.20
1,92,A75       ,U         ,W04038,20220719_MAGM_open_water_5_rb_F,1.0000,6.05,0.9632,0.0019,6.05,15.72,1.0909,0.0107,15.72,17.22,0.9340,0.0258,17.22
1,93,A76       ,U         ,W04040,20220719_MAGM_hardwoods_7_rb_F,1.0000,5.11,0.9625,0.0012,5.11,21.82,1.0997,0.0184,21.82,15.30,0.9309,0.0228,15.30
1,94,A77       ,U         ,W04034,20220719_MAGM_grasses_1_rb_F,1.0000,6.45,0.9635,0.0022,6.45,53.56,1.1451,0.0588,53.56,15.79,0.9319,0.0236,15.79
1,95,A78       ,U         ,W04042,20220719_MAGM_hardwoods_9_rb_F,1.0000,10.03,0.9663,0.0048,10.03,19.81,1.0971,0.0159,19.81,21.93,0.9426,0.0332,21.93
1,96,A79       ,U         ,W04037,20220719_MAGM_open_water_4_rb_F,1.0000,185.45,1.1021,0.1323,185.45,118.94,1.2400,0.1420,118.94,353.67,1.5165,0.5507,353.67
1,97,A80       ,D         ,Drift,100 ug/L,1.0000,112.91,1.0408,0.0796,112.91,111.71,1.2121,0.1328,111.71,112.43,1.0805,0.1744,112.43
1,98,WT        ,W         ,Wash,,1.0000,3.48,0.9612,0.0000,3.48,7.33,1.0794,0.0000,7.33,0.66,0.9063,0.0000,0.66
1,99,A81       ,Q3        ,Quality Control3,250 ug/L,1.0000,243.20,1.1493,0.1743,243.20,223.72,1.3941,0.2753,223.72,236.40,1.3197,0.3678,236.40
1,100,WT        ,WI        ,WashIgnore,,1.0000,4.56,0.9615,0.0008,4.56,8.47,1.0811,0.0015,8.47,0.91,0.9071,0.0004,0.91
1,101,A82       ,U         ,W04041,20220719_MAGM_hardwoods_8_rb_F,1.0000,5.18,0.9618,0.0012,5.18,15.30,1.0910,0.0101,15.30,18.08,0.9377,0.0272,18.08
1,102,A83       ,U         ,W04036,20220719_MAGM_grasses_3_rb_F,1.0000,6.40,0.9625,0.0021,6.40,38.51,1.1250,0.0397,38.51,24.45,0.9495,0.0371,24.45
1,103,A84       ,U         ,W04039,20220719_MAGM_open_water_6_rb_F,1.0000,11.39,0.9663,0.0058,11.39,34.51,1.1193,0.0346,34.51,18.39,0.9390,0.0277,18.39
1,104,A85       ,U         ,W04035,20220719_MAGM_grasses_2_rb_F,1.0000,5.81,0.9615,0.0017,5.81,32.47,1.1164,0.0320,32.47,10.07,0.9244,0.0147,10.07
1,105,A86       ,U         ,W04053,20220802_MAGM_open_water_4_rb_F,1.0000,226.56,1.1411,0.1622,226.56,51.37,1.1443,0.0560,51.37,81.33,1.0538,0.1259,81.33
1,106,A87       ,U         ,W04057,20220802_MAGM_hardwoods_8_rb_F,1.0000,9.64,0.9642,0.0045,9.64,13.30,1.0882,0.0076,13.30,21.60,0.9460,0.0327,21.60
1,107,A88       ,U         ,W04054,20220802_MAGM_open_water_5_rb_F,1.0000,11.92,0.9658,0.0061,11.92,27.31,1.1089,0.0254,27.31,15.45,0.9351,0.0231,15.45
1,108,A89       ,U         ,W04055,20220802_MAGM_open_water_6_rb_F,1.0000,13.89,0.9672,0.0076,13.89,22.12,1.1013,0.0188,22.12,16.35,0.9371,0.0245,16.35
1,109,A90       ,U         ,W04058,20220802_MAGM_hardwoods_9_rb_F,1.0000,23.88,0.9753,0.0148,23.88,13.87,1.0891,0.0083,13.87,23.34,0.9504,0.0354,23.34
1,110,A91       ,U         ,W04056,20220802_MAGM_hardwoods_7_rb_F,1.0000,8.41,0.9622,0.0036,8.41,22.55,1.1020,0.0194,22.55,13.79,0.9331,0.0205,13.79
1,111,A92       ,D         ,Drift,,1.0000,122.39,1.0443,0.0865,122.39,115.11,1.2164,0.1371,115.11,121.35,1.0971,0.1883,121.35
1,112,WT        ,W         ,Wash,,1.0000,3.48,0.9576,0.0000,3.48,7.33,1.0793,0.0000,7.33,0.66,0.9090,0.0000,0.66
1,113,A93       ,Q1        ,Quality Control1,,1.0000,7.29,0.9610,0.0028,7.29,6.84,1.0786,-0.0006,6.84,7.98,0.9224,0.0114,7.98
1,114,WT        ,WI        ,WashIgnore,,1.0000,6.69,0.9607,0.0023,6.69,6.61,1.0782,-0.0009,6.61,0.48,0.9089,-0.0003,0.48
1,115,A94       ,U         ,W04050,20220802_MAGM_grasses_1_rb_F,1.0000,22.65,0.9738,0.0139,22.65,24.54,1.1039,0.0219,24.54,15.05,0.9348,0.0225,15.05
1,116,A95       ,U         ,W04051,20220802_MAGM_grasses_2_rb_F,1.0000,12.96,0.9662,0.0069,12.96,19.70,1.0968,0.0157,19.70,17.93,0.9395,0.0269,17.93
1,117,A96       ,U         ,W04052,20220802_MAGM_grasses_3_rb_F,1.0000,12.40,0.9660,0.0065,12.40,22.12,1.0999,0.0188,22.12,18.98,0.9410,0.0286,18.98
1,122,A1        ,D         ,Drift,100 ug/L,1.0000,107.72,1.0362,0.0758,107.72,102.83,1.2006,0.1215,102.83,102.64,1.0692,0.1591,102.64
1,123,WT        ,W         ,Wash,,1.0000,3.48,0.9607,0.0000,3.48,7.33,1.0791,0.0000,7.33,0.66,0.9102,0.0000,0.66
1,124,A2        ,Q2        ,Quality Control2,50 ug/L,1.0000,51.77,0.9960,0.0351,51.77,51.25,1.1347,0.0559,51.25,48.51,0.9851,0.0747,48.51
1,125,WT        ,WI        ,WashIgnore,,1.0000,3.37,0.9610,-0.0001,3.37,7.93,1.0794,0.0008,7.93,0.65,0.9107,0.0000,0.65
1,126,E         ,E         ,EndRun,,1.0000,3.48,0.9613,0.0000,3.48,7.33,1.0784,0.0000,7.33,0.66,0.9110,0.0000,0.66
